contractor_id,name,contact_name,phone_nr,opening_time,location,satisfaction_with_previous_work
1,Gangverk,John Contractor,123-456-7890,08:00-18:00,Reykjavík,High
2,MarioPípur,Mario Leblanc,7758890,10:00-17:00,Tingwall,Medium
3,Gangverk,Gússi Þorsteinsson,7791010,13:00-20:00,Reykjavík,
4,Klárverk,Stefán Stéfanson,7771212,13:00-21:00,Tingwall,Good
5,Gangverk,Dobby Potter,5578080,13:00-22:00,Nuuk,Medium
6,Browski,Brendan Lovitt,8889090,13:00-22:00,Nuuk,Medium
7,Browskis,Brendan Lovitt,8981011,13:00-22:00,Nuuk,Medium
8,LetsGo,Lenny Kravitz,5521010,08:00-13:00,Nuuk,Medium
9,BB og Synir,Bjorgvin Lárus,8985656,13:00-22:00,Reyjavík,Medium
10,LoVerk,Lárus Long,7764747,10:00-17:00,Reykjavík,High
11,Pipur Pipur,Piparsveinn Lárusson,8881717,09:00-16:00,Reykjavík,Low
12,Lárus og Co,Lárus Lárusson,8884532,12:00-22:00,Reykjavík,Low
13,Skógar,Jóhann Páll,5452589,6-20,Reykjavík,very good
14,Vélar og verkfæri,Jón Gunnar,6168888,4-9,Reykjavík,good
